block_size,codec,col_decomp_time
gwas file,continuous-22409-both-sexes-irnt
10000,bz2,int,227.0,2442.0
10000,bz2,string,410.0,356.0,609.0
10000,bz2,float,1656.0,1666.0,1509.0,1540.0
map,deflate,int,58.0,257.0
map,deflate,string,51.0,49.0,81.0
map,deflate,float,192.0,219.0,177.0,183.0
map,bz2,int,137.0,961.0
map,bz2,string,165.0,150.0,249.0
map,bz2,float,649.0,684.0,625.0,628.0
