block_size,codec,col_size
gwas file,continuous-22409-both-sexes-irnt
10000,bz2,int,42,31851
10000,bz2,string,3758,3348,2608
10000,bz2,float,15285,16397,14204,15174
map,deflate,int,47,16388
map,deflate,string,2588,2428,1992
map,deflate,float,12279,13287,11323,12228
map,bz2,int,41,17153
map,bz2,string,2103,1928,1500
map,bz2,float,8702,9413,8101,8633
