gwas file,continuous-22409-both_sexes-irnt
gzip,386566048
bgzip,408398767
kzip,10000,bz2,292602816
kzip_gen_idx,10000,bz2,100114
kzip_pval_idx,10000,bz2,47099
kzip,10000,deflate,363061271
kzip_gen_idx,10000,deflate,100328
kzip_pval_idx,10000,deflate,47099
kzip,10000,xz,295934023
kzip_gen_idx,10000,xz,100124
kzip_pval_idx,10000,xz,47099
kzip,10000,zlib,362748110
kzip_gen_idx,10000,zlib,100327
kzip_pval_idx,10000,zlib,47099
kzip,10000,zstd,362363349
kzip_gen_idx,10000,zstd,100326
kzip_pval_idx,10000,zstd,47099
kzip,15000,bz2,292324089
kzip_gen_idx,15000,bz2,66390
kzip_pval_idx,15000,bz2,31355
kzip,15000,deflate,360149390
kzip_gen_idx,15000,deflate,66528
kzip_pval_idx,15000,deflate,31355
kzip,15000,xz,291563647
kzip_gen_idx,15000,xz,66387
kzip_pval_idx,15000,xz,31355
kzip,15000,zlib,359940806
kzip_gen_idx,15000,zlib,66528
kzip_pval_idx,15000,zlib,31355
kzip,15000,zstd,360896186
kzip_gen_idx,15000,zstd,66529
kzip_pval_idx,15000,zstd,31355
kzip,20000,bz2,292588648
kzip_gen_idx,20000,bz2,49544
kzip_pval_idx,20000,bz2,23217
kzip,20000,deflate,358388618
kzip_gen_idx,20000,deflate,49645
kzip_pval_idx,20000,deflate,0
kzip,20000,xz,288657639
kzip_gen_idx,20000,xz,49536
kzip_pval_idx,20000,xz,23217
kzip,20000,zlib,358232034
kzip_gen_idx,20000,zlib,49645
kzip_pval_idx,20000,zlib,23217
kzip,20000,zstd,359148770
kzip_gen_idx,20000,zstd,49646
kzip_pval_idx,20000,zstd,23217
kzip,map,bz2,301512732
kzip_gen_idx,map,bz2,858904
kzip_pval_idx,map,bz2,177811
kzip,map,deflate,371145987
kzip_gen_idx,map,deflate,1226954
kzip_pval_idx,map,deflate,236956
kzip,map,xz,308474020
kzip_gen_idx,map,xz,856992
kzip_pval_idx,map,xz,177508
kzip,map,zlib,367705984
kzip_gen_idx,map,zlib,1302211
kzip_pval_idx,map,zlib,250034
kzip,map,zstd,365268779
kzip_gen_idx,map,zstd,1075101
kzip_pval_idx,map,zstd,212331
gwas file,continuous-22409-both_sexes-irnt-2
gzip,386566048
bgzip,408398767
kzip,10000,bz2,292602816
kzip_gen_idx,10000,bz2,100114
kzip_pval_idx,10000,bz2,47099
kzip,10000,deflate,363061271
kzip_gen_idx,10000,deflate,100328
kzip_pval_idx,10000,deflate,47099
kzip,10000,xz,295934023
kzip_gen_idx,10000,xz,100124
kzip_pval_idx,10000,xz,47099
kzip,10000,zlib,362748110
kzip_gen_idx,10000,zlib,100327
kzip_pval_idx,10000,zlib,47099
kzip,10000,zstd,362363349
kzip_gen_idx,10000,zstd,100326
kzip_pval_idx,10000,zstd,47099
kzip,15000,bz2,292324089
kzip_gen_idx,15000,bz2,66390
kzip_pval_idx,15000,bz2,31355
kzip,15000,deflate,360149390
kzip_gen_idx,15000,deflate,66528
kzip_pval_idx,15000,deflate,31355
kzip,15000,xz,291563647
kzip_gen_idx,15000,xz,66387
kzip_pval_idx,15000,xz,31355
kzip,15000,zlib,359940806
kzip_gen_idx,15000,zlib,66528
kzip_pval_idx,15000,zlib,31355
kzip,15000,zstd,360896186
kzip_gen_idx,15000,zstd,66529
kzip_pval_idx,15000,zstd,31355
kzip,20000,bz2,292588648
kzip_gen_idx,20000,bz2,49544
kzip_pval_idx,20000,bz2,23217
kzip,20000,deflate,358388618
kzip_gen_idx,20000,deflate,49645
kzip_pval_idx,20000,deflate,0
kzip,20000,xz,288657639
kzip_gen_idx,20000,xz,49536
kzip_pval_idx,20000,xz,23217
kzip,20000,zlib,358232034
kzip_gen_idx,20000,zlib,49645
kzip_pval_idx,20000,zlib,23217
kzip,20000,zstd,359148770
kzip_gen_idx,20000,zstd,49646
kzip_pval_idx,20000,zstd,23217
kzip,map,bz2,301512732
kzip_gen_idx,map,bz2,858904
kzip_pval_idx,map,bz2,177811
kzip,map,deflate,371145987
kzip_gen_idx,map,deflate,1226954
kzip_pval_idx,map,deflate,236956
kzip,map,xz,308474020
kzip_gen_idx,map,xz,856992
kzip_pval_idx,map,xz,177508
kzip,map,zlib,367705984
kzip_gen_idx,map,zlib,1302211
kzip_pval_idx,map,zlib,250034
kzip,map,zstd,365268779
kzip_gen_idx,map,zstd,1075101
kzip_pval_idx,map,zstd,212331
