GCST90179114_buildGRCh37,Intelligence,216381,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/GCST90179114/
GCST90179115_buildGRCh37,Reaction time,432297,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/GCST90179115/
GCST90179117_buildGRCh37,Pairs matching task,81701,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/
GCST90179149_buildGRCh37,Triglyceride levels (MTAG),361194,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/GCST90179149/
GCST90179150_buildGRCh37,BMI,694649,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/GCST90179150/
GCST90179151_buildGRCh37,Cigarettes smoked per day,337334,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90179001-GCST90180000/GCST90179151/
